Date,HIGH,CLOSE,LOW,OPEN,VOLUME,COUNT
2019-10-01,800,795,785,795,2779200,-1
2019-10-02,800,790,790,795,3602200,-1
2019-10-03,805,795,780,790,8090100,-1
2019-10-04,820,815,795,795,13547900,-1
2019-10-07,820,810,805,815,3476600,-1
2019-10-08,820,795,795,810,6372100,-1
2019-10-09,830,820,790,795,8032900,-1
2019-10-10,825,820,805,820,6895900,-1
2019-10-11,820,820,805,815,4233600,-1
2019-10-14,820,810,810,820,4457200,-1
2019-10-15,820,815,805,810,5171900,-1
2019-10-16,820,810,805,815,7344000,-1
2019-10-17,810,800,800,810,2883300,-1
2019-10-18,810,810,795,800,9968800,-1
2019-10-21,810,790,790,810,5126200,-1
2019-10-22,800,790,785,790,5692900,-1
2019-10-23,800,780,775,790,7360500,-1
2019-10-24,805,790,780,780,11362300,-1
2019-10-25,800,790,785,790,4560100,-1
2019-10-28,795,790,785,790,5565900,-1
2019-10-29,795,785,775,790,7592100,-1
2019-10-30,790,780,765,785,6146800,-1
2019-10-31,785,765,760,780,6485500,-1
2019-11-01,765,730,730,765,6587100,-1
2019-11-04,775,745,730,730,14464500,-1
2019-11-05,760,760,740,745,8049500,-1
2019-11-06,790,740,735,760,9394700,-1
2019-11-07,745,740,730,740,5245100,-1
2019-11-08,745,725,725,740,4392900,-1
2019-11-11,730,715,695,725,5929800,-1
2019-11-12,715,695,675,715,11029900,-1
2019-11-13,720,695,670,695,19903900,-1
2019-11-14,700,690,680,695,4221200,-1
2019-11-15,700,690,685,690,4663900,-1
2019-11-18,700,685,680,690,5842000,-1
2019-11-19,700,685,680,685,6267700,-1
2019-11-20,685,680,675,680,5798200,-1
2019-11-21,690,680,675,680,7773800,-1
2019-11-22,685,685,670,680,7545400,-1
2019-11-25,690,690,680,685,9972900,-1
2019-11-26,710,690,685,690,9644800,-1
2019-11-27,695,680,650,690,5881800,-1
2019-11-28,690,650,645,680,5980100,-1
2019-11-29,705,705,650,650,13122500,-1
2019-12-02,710,690,675,700,4897100,-1
2019-12-03,690,675,655,690,4757900,-1
2019-12-04,685,665,665,675,3876300,-1
2019-12-05,675,650,650,665,4321400,-1
2019-12-06,650,650,645,650,3916300,-1
2019-12-09,660,660,650,650,7065000,-1
2019-12-10,675,660,655,660,5545600,-1
2019-12-11,670,655,645,660,5643500,-1
2019-12-12,660,655,650,655,8305900,-1
2019-12-13,665,655,650,655,5536200,-1
2019-12-16,660,645,640,650,5694700,-1
2019-12-17,655,630,630,645,5347700,-1
2019-12-18,655,630,625,630,9407900,-1
2019-12-19,645,635,625,630,14344700,-1
2019-12-20,645,625,610,635,7478500,-1
2019-12-23,625,605,600,625,5003500,-1
2019-12-26,625,625,600,605,12790900,-1
2019-12-27,650,650,615,625,9159100,-1
2019-12-30,685,685,650,650,16493600,-1
2020-01-02,695,660,650,690,7284900,-1
2020-01-03,665,665,645,660,9060900,-1
2020-01-06,675,650,650,660,11174300,-1
2020-01-07,650,650,645,650,4771600,-1
2020-01-08,645,625,625,645,3874800,-1
2020-01-09,630,625,610,620,4438000,-1
2020-01-10,625,625,600,625,8928200,-1
2020-01-13,625,620,615,625,3253000,-1
2020-01-14,630,610,605,620,6088600,-1
2020-01-15,620,590,590,610,8619200,-1
2020-01-16,590,585,565,590,11934500,-1
2020-01-17,585,570,560,585,4509900,-1
2020-01-20,570,550,530,570,9493900,-1
2020-01-21,550,530,530,545,3235300,-1
2020-01-22,535,510,510,525,3239200,-1
2020-01-23,520,510,500,510,3843700,-1
2020-01-24,510,500,490,505,5780000,-1
